ABLG	SPECIMENID	AgeYRS	Sex	LENGTH	WEIGHT	ExtractionPlate	ExtractionWell	DNAngul	DestinationWell	Species	CRUISE	VESSEL	HAUL	SPECIES_CODE	SEX	AGE	age_grp	AlternateID	CollectionYear	CruiseID	HaulID	DepthM	LengthMM	WeightG
47574	551	2	female	150	42	DNA0204	A03	21.049	A01	Sebastes alutus	201901	143	269	30060	2	2	1	551	2019	201901	269	115	NA	NA
47587	105	10	male	360	568	DNA0204	A05	27.274	A02	Sebastes alutus	201901	143	48	30060	1	10	10	105	2019	201901	48	105	NA	NA
47605	546	20	female	360	721	DNA0204	A08	58.287	A03	Sebastes alutus	201901	143	268	30060	2	20	20	546	2019	201901	268	335	NA	NA
738	384	31	female	400	867	DNA0204	A11	40.948	A04	Sebastes alutus	201901	143	213	30060	2	31	30	384	2019	201901	213	231	400	867
689	39	57	male	390	745	DNA0204	B01	18.278	A05	Sebastes alutus	201901	143	13	30060	1	57	NA	39	2019	201901	13	223	390	745
47569	534	3	female	180	83	DNA0204	B02	71.628	A06	Sebastes alutus	201901	143	264	30060	2	3	1	534	2019	201901	264	111	NA	NA
717	241	18	male	380	742	DNA0204	B05	166.09	A07	Sebastes alutus	201901	143	146	30060	1	18	10	241	2019	201901	146	115	380	742
677	13	11	male	350	534	DNA0204	B06	44.436	A08	Sebastes alutus	201901	143	4	30060	1	11	10	13	2019	201901	4	129	350	534
47599	569	14	male	370	705	DNA0204	B07	57.597	A09	Sebastes alutus	201901	143	275	30060	1	14	10	569	2019	201901	275	216	NA	NA
809	596	28	male	390	944	DNA0204	B08	187.951	A10	Sebastes alutus	201901	143	283	30060	1	28	20	596	2019	201901	283	203	390	944
47622	374	34	female	420	827	DNA0204	B11	78.272	A11	Sebastes alutus	201901	143	210	30060	2	34	30	374	2019	201901	210	180	NA	NA
47583	375	9	female	330	487	DNA0204	C04	37.942	A12	Sebastes alutus	201901	143	210	30060	2	9	1	375	2019	201901	210	180	NA	NA
47588	453	15	male	380	754	DNA0204	C05	126.39	B01	Sebastes alutus	201901	143	241	30060	1	15	10	453	2019	201901	241	228	NA	NA
47594	247	19	male	390	900	DNA0204	C06	70.496	B02	Sebastes alutus	201901	143	148	30060	1	19	10	247	2019	201901	148	114	NA	NA
47600	244	13	female	380	680	DNA0204	C07	73.25	B03	Sebastes alutus	201901	143	147	30060	2	13	10	244	2019	201901	147	116	NA	NA
47617	270	31	male	410	904	DNA0204	C10	210	B04	Sebastes alutus	201901	143	156	30060	1	31	30	270	2019	201901	156	103	NA	NA
47630	114	31	male	400	848	DNA0204	C12	28.783	B05	Sebastes alutus	201901	143	50	30060	1	31	30	114	2019	201901	50	222	NA	NA
793	535	3	male	210	130	DNA0204	D02	66.001	B06	Sebastes alutus	201901	143	264	30060	1	3	1	535	2019	201901	264	111	210	130
47577	79	5	female	300	362	DNA0204	D03	46.286	B07	Sebastes alutus	201901	143	42	30060	2	5	1	79	2019	201901	42	88	NA	NA
47589	243	12	female	360	617	DNA0204	D05	67.29	B08	Sebastes alutus	201901	143	147	30060	2	12	10	243	2019	201901	147	116	NA	NA
47595	289	18	male	380	719	DNA0204	D06	72.325	B09	Sebastes alutus	201901	143	164	30060	1	18	10	289	2019	201901	164	182	NA	NA
47601	150	11	male	350	583	DNA0204	D07	85.163	B10	Sebastes alutus	201901	143	73	30060	1	11	10	150	2019	201901	73	141	NA	NA
47606	304	21	male	390	801	DNA0204	D08	58.087	B11	Sebastes alutus	201901	143	171	30060	1	21	20	304	2019	201901	171	103	NA	NA
47618	398	34	female	410	935	DNA0204	D10	72.427	B12	Sebastes alutus	201901	143	220	30060	2	34	30	398	2019	201901	220	137	NA	NA
47624	408	33	male	390	833	DNA0204	D11	71.084	C01	Sebastes alutus	201901	143	226	30060	1	33	30	408	2019	201901	226	231	NA	NA
758	451	41	female	450	1082	DNA0204	E01	30.048	C02	Sebastes alutus	201901	143	240	30060	2	41	NA	451	2019	201901	240	134	450	1082
697	67	5	male	290	275	DNA0204	E04	28.402	C03	Sebastes alutus	201901	143	34	30060	1	5	1	67	2019	201901	34	108	290	275
47602	394	23	male	380	713	DNA0204	E07	210	C04	Sebastes alutus	201901	143	220	30060	1	23	20	394	2019	201901	220	137	NA	NA
698	107	6	female	330	414	DNA0204	F03	23.687	C05	Sebastes alutus	201901	143	49	30060	2	6	1	107	2019	201901	49	110	330	414
47590	156	16	female	390	783	DNA0204	F05	83.426	C06	Sebastes alutus	201901	143	76	30060	2	16	10	156	2019	201901	76	154	NA	NA
736	357	24	female	410	849	DNA0204	F07	138.796	C07	Sebastes alutus	201901	143	200	30060	2	24	20	357	2019	201901	200	458	410	849
814	616	26	female	430	1098	DNA0204	F08	81.923	C08	Sebastes alutus	201901	143	287	30060	2	26	20	616	2019	201901	287	278	430	1098
47619	364	36	male	390	847	DNA0204	F10	210	C09	Sebastes alutus	201901	143	207	30060	1	36	30	364	2019	201901	207	168	NA	NA
795	539	59	male	390	740	DNA0204	G01	50.872	C10	Sebastes alutus	201901	143	267	30060	1	59	NA	539	2019	201901	267	325	390	740
757	445	6	female	290	323	DNA0204	G02	36.555	C11	Sebastes alutus	201901	143	239	30060	2	6	1	445	2019	201901	239	211	290	323
47579	15	8	female	330	467	DNA0204	G03	71.285	C12	Sebastes alutus	201901	143	4	30060	2	8	1	15	2019	201901	4	129	NA	NA
47585	254	19	male	380	665	DNA0204	G04	76.453	D01	Sebastes alutus	201901	143	149	30060	1	19	10	254	2019	201901	149	60	NA	NA
47597	511	13	male	360	588	DNA0204	G06	52.83	D02	Sebastes alutus	201901	143	255	30060	1	13	10	511	2019	201901	255	213	NA	NA
47603	335	22	female	400	818	DNA0204	G07	123.955	D03	Sebastes alutus	201901	143	194	30060	2	22	20	335	2019	201901	194	179	NA	NA
