samplename	avg_depth
47569	26.7409
47573	24.2515
47574	24.7931
47577	29.8127
47579	28.9761
47583	28.2855
47585	25.389
47586	26.682
47587	26.1547
47588	27.2835
47589	25.1046
47590	26.1833
47594	24.2477
47595	21.5846
47597	26.6829
47599	23.6091
47600	29.8871
47601	22.3309
47602	21.6023
47603	28.1646
47605	23.1351
47606	22.9016
47609	25.7899
47614	25.046
47617	22.6379
47618	26.4937
47619	23.431
47620	27.2838
47621	24.2104
47622	20.2258
47624	21.7614
47627	25.2896
47630	26.1836
673	25.3726
677	25.0373
689	20.2393
697	26.1973
698	22.821
717	23.8726
736	21.4661
738	21.2853
757	24.3606
758	24.5113
793	26.0314
795	22.4956
809	21.6201
814	23.337
816	26.0472
